Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Role: Data Scientist

Job Type: 6+ Months Contract to Hire

Location: Bangalore, India.

Required Skills:
Must have 5+ years exp.

Good Experience in python .

Have time series forecasting, NLP and computer vision exp.

Have knowledge and exp with AWS/Azure/GCP .
Show more",4.7,CloudRay Inc,Indiana,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
"Data Scientist, Parfums Christian Dior","$132,500
/yr (est.)","Company Description

From 1946, people of the House of Parfums Christian Dior in France and around the world embody the spirit of excellence, creativity, and the unique savoir-faire of its creator, the couturier-perfumer Christian Dior. Revolutionizing the codes of French elegance and luxury with its perfumes, combining tradition and daring innovation in makeup and skincare, we reinvent every day the Dior style and affirm beauty and joy in its entirety.
Parfums Christian Dior invites you today to join its North America teams.
Parfums Christian Dior is part of the LVMH Group.






Show more",3.7,Christian Dior Perfumes,United States,10000+ Employees,1947,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD)
Data Scientist,"$95,000
/yr (est.)","A pioneer in K–12 education since 2000, Amplify is leading the way in next-generation curriculum and assessment. Our core and supplemental programs in ELA, math, and science engage all students in rigorous learning and inspire them to think deeply, creatively, and for themselves. Our formative assessment products help teachers identify the targeted instruction students need to build a strong foundation in early reading and math. All of our programs provide educators with powerful tools that help them understand and respond to the needs of every student. Today, Amplify serves more than 10 million students in all 50 states. For more information, visit amplify.com.
Amplify is a leader in creating immersive, rigorous digital learning experiences that look great, play great, and help students expect great things of themselves. Amplify has been described as the best tech company in education, and the best education company in tech.



Show more",3.9,"Amplify Education, Inc.",Remote,201 to 500 Employees,2000,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD)
Data Scientist - Generative AI,"$97,934
/yr (est.)","LOCATION
Montgomery, Alabama or Part-Time Remote (For hire or contract)
JOB DESCRIPTION
As a Data Scientist specializing in Generative AI, you will play a crucial role in developing and implementing cutting-edge generative models to solve complex problems and drive innovation. You will collaborate with cross-functional teams of data scientists, machine learning engineers, and domain experts to create novel solutions with real-world impact.
JOB DUTIES
Research, design, and implement generative models for various applications, such as image synthesis, text generation, and data augmentation

Show more",-1.0,Online Commerce Group (OCG),"Montgomery, AL",Unknown,--,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,-1,"We're looking for a full time Data Scientist to join our team at Two Six in the Information Advantage business unit. At Two Six Technologies, we build, deploy, and implement innovative products that solve the world's most complex challenges today. Through unrivaled collaboration and unwavering trust, we push the boundaries of what's possible to empower our team and support our customers in building a safer global future.
Through private R&D, relentless innovation, and deep technical expertise in cyber, information operations, data science, electronic systems, mobility, and user experience, we serve customers that include DARPA, the Department of State, U.S. Cyber Command, the Department of Homeland Security, and beyond.
Overview
Show more",4.5,Two Six Technologies,Remote,501 to 1000 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$90,965
/yr (est.)","What we offer
Excellent health benefits plan, which includes medical, vision and dental options
401(k) with company match
Company profit sharing plan
Generous paid time-off and paid holidays
Paid parental leave
Company-paid mental health benefit through Headspace
2 free on-site fitness rooms
Employee Assistance Program
Show more",3.4,"Servpro Industries, LLC","Gallatin, TN",201 to 500 Employees,1967,Company - Private,Building & Personnel Services,Management & Consulting,$1 to $5 billion (USD)
Data Scientist I,"$80,344
/yr (est.)","Data Scientist I
Overall Position Description
The logistics industry continues to evolve at an extraordinary pace as big data and technology enhancements drive the demand for change. For England Logistics (EL) to maintain its stature as a leader in the industry we must maximize the opportunity to consume and translate data to help drive our business decisions. The role of Data Scientist is integral in providing the insight and tools necessary to accomplish this objective. This individual is expected to have advanced skills in a variety of statistical techniques along with analytical techniques including Python, SQL, data mining and data modeling. The main responsibility of this role is to determine opportunities for Data Science or Machine Learning projects, to prepare and present the results of these projects and then to incorporate the results into the business. Other responsibilities include obtaining, cleansing, mining, and interpreting big data. This individual helps identify additional data sources that are applicable to the transportation industry in order to provide substance, detail and integrity to various analytical outputs. By utilizing different modeling tools and identifying data patterns this position helps facilitate business insights and decision making.
Show more",3.1,England Logistics,"Salt Lake City, UT",501 to 1000 Employees,1994,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable
"Data Scientist, Customer Experimentation","$165,000
/yr (est.)","At Eppo, we are building the future of experimentation, so that every company can have an entrepreneurial, customer oriented culture. We believe that AB experiments uniquely put customers at the center of product decisions instead of political processes.
Our next-gen platform allows companies to 10x their volume of AB experiments by embracing the full technical rigor of engineering and statistics while focusing intensely on the evangelism of results and accessibility to business users. We are built for the modern cloud infrastructure, with easy integrations and an emphasis on privacy and security.
Our team is made up of veteran product builders from Airbnb, Slack, and Snowflake, and our product is powering experimentation at some of top companies around the world. We’ve raised over $19M in Seed and Series A funding backed by top-tier venture firms like Menlo VC and Amplify Partners.
Show more",5.0,Eppo,Remote,1 to 50 Employees,2021,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,"$115,000
/yr (est.)","ABOUT FANDUEL
FanDuel Group (""FanDuel"") is an innovative sports-tech entertainment company that is changing the way consumers engage with their favorite sports, teams, and leagues. The premier gaming destination in the United States, FanDuel consists of a portfolio of leading brands across gaming, sports betting, daily fantasy sports, advance-deposit wagering, and TV/media.
FanDuel has a presence across all 50 states with approximately 17 million customers and 28 retail locations. FanDuel is based in New York with offices in New Jersey, Georgia, California, Oregon, Canada and Scotland.
Its networks FanDuel TV and FanDuel+ are broadly distributed on linear cable television and through its relationships with leading direct-to-consumer over-the-top platforms.






Show more",4.1,FanDuel,"Jersey City, NJ",501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
Data Scientist,"$112,500
/yr (est.)","NinjaHoldings was founded in 2017 by a team seeking to revolutionize the way everyday Americans interact with financial services. Through our CreditNinja and NinjaCard brands, we empower people overlooked by traditional financial institutions to take control of their finances via a full suite of digital banking and lending products, providing incentives and rewards along the way as we guide them on a path to financial improvement. Through our NinjaEdge brand, we help companies better understand their customers by offering a package of bespoke underwriting, fraud detection, and analytics services. With offices in Chicago, Miami, and around the world through the power of remote work, we are a lean and innovative team always seeking like-minded talent to join us in our fight to disrupt consumer finance.


Show more",4.3,NinjaHoldings,Remote,51 to 200 Employees,2017,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Junior Data Scientist,"$100,410
/yr (est.)","Be a part of a Data Analysis team - implement new systems and support existing core. Ability to learn the business of our commercial, federal government, and healthcare clients from the ground up. Build a career on a strong foundation and lastly, be valued as a FORCE MULTIPLIER.
Qualifications:
You have a background in data science and enjoy teaching and explaining to others both the theory and practical application behind the methodologies your utilizing
You are a wizard with extracting data from varied sources, and bringing to bear cutting-edge algorithms and techniques on that data – but most importantly, you are detail oriented and have the ability to audit your own work.
Show more",-1.0,Actfore,"Reston, VA",1 to 50 Employees,2022,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist,"$96,250
/yr (est.)","About The Company
Gwyneth Paltrow launched goop from her kitchen as a homespun weekly newsletter. It's grown a lot since then; goop is a lifestyle platform encompassing curated products and content about beauty, wellness, fashion, food, and home. Pioneering the contextual commerce platform, goop allows readers to shop with meaning. goop is one of the rare places on the web where food, shopping, and mindfulness collide—where the ever-evolving intent is to make every choice count. We're all resource-strapped, so goop hopes to surface the very best experiences, recipes, products, and advice.
About You
You thrive in an end-to-end data environment where you have the opportunity to build and deploy data pipelines, enhance and develop frameworks, and test + deploy production-level models that impact how we interact with our customers.
Show more",3.9,goop,"Santa Monica, CA",201 to 500 Employees,2008,Company - Private,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable
GenAI Data Scientist,"$75.00
/hr (est.)","Job Requirements -
1. Bachelor / Master of Science in Statistics/Mathematics or B.E / B.Tech or M.E. / M.Tech in any engineering discipline.
2. Above 2 years of experience in the above mentioned job description.
3. In depth hands-on skills in prompt engineering and natural language processing using transformer models like - Generative AI (transformer models/large language models/lang chains and GANs) and prompt engineering.
4. In depth hands on skills in image and video processing using multiple Generative Adversarial Network (GANs)
5. In depth knowledge and skills in BERT, GPT, GPT-2, and GPT-3, Lambda, Jasper, ChatGPT, DALL E, stable diffusion, Syntesia, Whisper m Hugging Face Python library etc.

Show more",-1.0,IRA FUTURE SOLUTIONS,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,"$117,710
/yr (est.)","Context Labs is seeking a Data Scientist to support the deployment of Context Labs’ Decarbonization as a Service™ platform, built on our Immutably™ Data Fabric technology. The candidate will perform research and analysis required by customer projects to deploy data-driven business products related to greenhouse gas mitigation within the energy industry. Responsibilities include the design and implementation of pipelines for ingestion, provenance, visualization, and analysis of data from a wide variety of data sources, building and testing predictive models using machine learning and advanced statistics, with a strong emphasis on the latter. This is a diverse role requiring skills from software development to applied mathematics and statistics. This role will report to the Chief Data & Analytics Officer.










Show more",3.5,Context Labs,"Cambridge, MA",Unknown,--,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
Data Scientist,"$87,500
/yr (est.)","Company Description

Zenith is the ROI Agency. Our more than 6,000 specialists across 95 markets offer unparalleled capabilities in Media, Data, Technology, Commerce and Content. We put effectiveness at the heart of our work to solve complex challenges, drive successful business outcomes, and grow our clients’ businesses. Zenith is part of Publicis Media, the media arm of Publicis Groupe.

Job Description

What does Zenith Data Sciences do?

Working closely with both the Business Planning and Analytics teams, Data Sciences designs and implements statistical models and machine learning solutions that tie our clients’ marketing to real-world business goals. We use these models to understand past performance, predict future performance, and inform and optimize future decisions. Our work brings our clients closer to their marketing, helping them understand if they are talking to the right people in the right way.











Show more",3.8,Zenith,United States,10000+ Employees,1988,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Data Scientist,"$90,281
/yr (est.)","A. Data Scientist
· The Data Scientist must be fluent in one (1) or more data manipulation programming languages (e.g., R, Python, Scala, etc.)
· The Data Scientist must be proficient at working with structured and unstructured datasets of varying sizes and complexity, with experience working in big data management and data mining.
· The Data Scientist must have a minimum of three (3) years of relevant experience in mathematical modeling, statistical analysis, machine learning, AB testing, or data science in an applied context using statistical programming languages, SQL, and other scripting and statistical tools as well as proficiency in one (1) or more visualization tools.
Show more",5.0,Promethium IT Solution,Remote,1 to 50 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Machine Learning Data Scientist,"$109,029
/yr (est.)","At Leanpath, we are a group of diverse and passionate technologists, sustainability experts, culinarians, and analysts who come together to achieve our vision each and every day: to ensure a sustainable future by eliminating global food waste.

Food waste is one of the biggest global issues of our time. More than a third of the world’s food is wasted. And with global hunger and social inequities increasing, wasted food and resources is tragic, devastating our communities and our planet.

So how do you, as a machine learning data scientist, help to end food waste? You bring your skills to bear at Leanpath, a company who’s fighting food waste at its source. We start with the foundational premise that we manage the things that we measure. Measurement is the key to uncovering the data and insights we can leverage to prevent food waste from reoccurring, so it’s crucial that we make measurement as easy as possible for our users. That’s where you come in!







Show more",4.2,LeanPath,"Beaverton, OR",51 to 200 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
"Data Scientist-Sierra Vista, AZ","$109,071
/yr (est.)","DirectViz Solutions, LLC. is a high-level, strategic consulting services firm that meets mission IT needs for government clients. We are seeking a talented Data Scientist with experience in O365 and Power BI to join our team and play a pivotal role in transforming data into actionable intelligence.
Job Summary:
As a Data Scientist, you will work collaboratively with cross-functional teams to extract, analyze, and visualize O365 and other data using Power BI. You will be responsible for developing data models, implementing statistical algorithms, and creating interactive dashboards to empower stakeholders with actionable insights. If you are passionate about data, possess strong analytical skills, and have experience with Power BI, we encourage you to apply.

Show more",3.4,"DirectViz Solutions, LLC","Sierra Vista, AZ",201 to 500 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"$95,000
/yr (est.)","About the Role:
We are currently hiring a full-stack data scientist. You should know the fundamentals of statistics, data science, and machine learning. You should be able to parse through hard problems and rigorously formulate your thinking mathematically. On top of that, you should be familiar with how every part of an application operates— frontend, backend, DB, IaC, cloud, etc. Not that you should be an expert per se, but a quick-to-learn generalist with a specialized understanding in data science.
You should be experienced with Python as well as React+NextJS (specifically Typescript)
Show more",3.6,Supernova Technology,Remote,51 to 200 Employees,2014,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data Scientist,"$95,000
/yr (est.)","About the Role:
We are currently hiring a full-stack data scientist. You should know the fundamentals of statistics, data science, and machine learning. You should be able to parse through hard problems and rigorously formulate your thinking mathematically. On top of that, you should be familiar with how every part of an application operates— frontend, backend, DB, IaC, cloud, etc. Not that you should be an expert per se, but a quick-to-learn generalist with a specialized understanding in data science.
You should be experienced with Python as well as React+NextJS (specifically Typescript)
Show more",3.6,Supernova Technology,Remote,51 to 200 Employees,2014,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
"Data Scientist, AI & Automation","$129,898
/yr (est.)","Join us in bringing joy to customer experience. Five9 is a leading provider of cloud contact center software, bringing the power of cloud innovation to customers worldwide.
Living our values everyday results in our team-first culture and enables us to innovate, grow, and thrive while enjoying the journey together. We celebrate diversity and foster an inclusive environment, empowering our employees to be their authentic selves.
The Data Scientist for the AI & Automation Solutions team will provide expert guidance on NLP concepts, assist in technical design reviews, build text corpuses for classification models, leverage all available data for the purposes of training/re-training intents, develop and execute virtual agent performance measurement strategy, and continuously research and prototype the latest data science concepts related to NLP and NLU.






Show more",4.2,Five9,"San Ramon, CA",1001 to 5000 Employees,2001,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,-1,"Data Scientist

Join us. Let’s make a direct impact in healthcare.

Being an Iodine employee means becoming part of something bigger: using clinical AI technology to drive smarter healthcare processes and positively impact patient care.

Who we are:

Iodine is an enterprise AI company that is championing a radical rethink of how to create value for healthcare professionals, leaders, and their organizations: automating complex clinical tasks, generating insights and empowering intelligent care. Powered by one of the largest sets of clinical data and use cases available, our groundbreaking clinical machine-learning engine, Cognitive ML, constantly ingests the patient record to generate real-time, highly focused, predictive insights that clinicians and hospital administrators can leverage to dramatically augment the management of care delivery.


Show more",4.3,Iodine Software,Remote,51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist, Field Analytics","$111,196
/yr (est.)","Company Description

Domino’s Pizza, which began in 1960 as a single store location in Ypsilanti, MI, has had a lot to celebrate lately: we’re a reshaped, reenergized brand of honesty, transparency and accountability – not to mention, great food! In the rise to becoming a true technology leader, the brand is now consistently one of the top five companies in online transactions and 65% of our sales in the U.S. are taken through digital channels. The brand continues to ‘deliver the dream’ to local business owners, 90% of which started as delivery drivers and pizza makers in our stores. That’s just the tip of the iceberg…or as we might say, one “slice” of the pie! If this sounds like a brand you’d like to be a part of, consider joining our team!









Show more",3.5,Domino's Corporate,"Ann Arbor, MI",10000+ Employees,1960,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$1 to $5 billion (USD)
Data Scientist 1,"$94,899
/yr (est.)","Overview:
Protecting U.S. residents and visitors is among our nation’s highest priorities. As adversaries gain access to sophisticated technologies and materials, the threats grow more dynamic and complex—from cyber and nuclear to chemical and biological weapons of mass effect and other forms of terrorism. The PNNL national security mission employs our researchers, tools, and technologies to play a key role in advancing the ability to identify and secure nuclear materials, detect weapons of mass effect, manage nonproliferation treaties, secure our nation's borders, and protect critical infrastructures. PNNL’s scientific discovery and capabilities—rooted in innovative theory, methods, algorithms, and tools—are enabling stronger, more resilient technologies and systems to safeguard national security. Coupled with decades of radiological and nuclear materials expertise, advanced computing and threat analysis capabilities, and a broad fundamental science base, we are identifying and countering emerging threats that have significant impact at home and around the globe.



Rockstar Rewards:

Responsibilities:
Qualifications:
Hazardous Working Conditions/Environment:
Additional Information:

Testing Designated Position (TDP):
About PNNL:

Commitment to Excellence, Diversity, Equity, Inclusion, and Equal Employment Opportunity:


Drug Free Workplace:

HSPD-12 PIV Credential Requirement:
Show more",4.0,Pacific Northwest National Laboratory,"Richland, WA",5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
Junior Data Scientist,"$105,000
/yr (est.)","Job Title: Junior Data Scientist
Department: Value-Based Programs

About the Role:

We are seeking a highly motivated Junior Data Scientist. You will be looking to leverage your solid healthcare experience and growing technical skills to help us continue to grow our nationally-recognized ACO. This role will report to the Strategy Data Scientist and is available for remote work.

What You'll Do:













Show more",3.9,ApolloMed,Remote,501 to 1000 Employees,1994,Company - Public,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Data Scientist I,"$104,926
/yr (est.)","The Supply Chain team is looking for a Data Scientist to support our fast-growing demand for data-driven solutions. You will design and develop algorithms to analyze unstructured, diverse data sources with the goal of optimizing the highly complex supply chain of ion implanters. Moreover, you will build Power BI reports that generate actionable insights for internal users. This job will involve steps from the entire data pipeline: vetting, cleaning and parsing data to make it ready for development, as well as developing, evaluating and presenting models in collaboration with your colleagues and providing support to leadership. You will work in a high-paced business environment, so a hands-on attitude and excellent communication skills are required. This role allows the Data Scientist to grow their data analytics and problem solving skills, while also learning more about supply chain and the semiconductor industry.


Show more",4.0,Axcelis Technologies Inc.,"Beverly, MA",501 to 1000 Employees,1995,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD)
Junior Data Scientist,"$62,500
/yr (est.)","Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.

Show more",4.0,DonorSearch,Remote,1 to 50 Employees,--,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable
Bioinformatics Scientist/ Data Scientist,"$122,500
/yr (est.)","Bioinformatics Scientist/ Data Scientist
Vicinitas Therapeutics is a biotechnology company focused on targeted protein stabilizers known as Deubiquitinase Targeting Chimeras (DUBTACs). The company’s mission is to use this proprietary technology to solve critical problems in human health by developing next-generation disease therapies against an entire class of previously inaccessible disease-causing proteins. Spun out of an academic-industry collaboration between Novartis Institutes for BioMedical Research and the University of California, Berkeley, Vicinitas Therapeutics is based in South San Francisco, California. For more information, visit www.vicinitas.com.
We are seeking a Bioinformatics Scientist for our Chemical Biology (ChemBio) group. The ChemBio group is responsible for the production & analysis of data to aid in the design and optimization of novel bifunctional DUBTACs for protein stabilization. This analysis is performed via proteomics investigations and informatic inquiry. This position will work cross-functionally to help the ChemBio team ingest and understand the data from other departments via building user-based interfaces for the visualization of complex data. The creation of end-to-end pipelines for faster processing, quality control and automation of common procedures associated with this role will be essential to support company growth. These efforts will be primarily cloud based and supported by the candidate and their manager. This position will also assist with IT responsibilities for the entire organization.
Show more",-1.0,Vicinitas Therapeutics,"San Francisco, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
